'CanonicalRoots.ambientCharacterEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientCharacterEquiv_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientCharacterAction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientCharacterFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootSubalgebra_le_characterFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientProjection_characterHom' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientProjection_eq_decompose' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_eq_bot_of_rationalDegree_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_le_root_of_mem_zmultiples' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.fixed_nonzero_projection_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootSubalgebra_eq_characterFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootRingEquivCharacterFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacterDegree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacterDegree_tau' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacter_coordinate_equations' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacter_ext' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.freeDegreeCharacter' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.freeDegreeCharacter_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.freeDegreeCharacter_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.degreeCharacterOfCoordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.degreeCharacterOfCoordinates_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.degreeCharacterOfCoordinates_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.degreeCharacterOfCoordinates_tau' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacterOfCoordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacterOfCoordinates_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacter_coordinates_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPointStabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.mem_rootPointStabilizer_iff_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.mem_rootPointStabilizer_iff_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateUnits' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateUnits_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateUnits_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateUnits_other' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateUnits_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateUnits_powers' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateCharacter' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateCharacter_degree_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateCharacter_mem_stabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateStabilizer_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateStabilizerEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinateStabilizer_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.fermatPoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.fermatPoint_X' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.twoCoordinatePoint_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacterMulSemiringAction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCharacter_smulCommClass' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.canonicalRoot_isInvariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambient_integral_over_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambient_finite_over_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambient_primes_over_root_transitive' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.stabilizer_preserves_primeCompl' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.pointLocalCharacterEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.pointLocalCharacterEquiv_algebraMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.pointLocalCharacterAction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPointLocalMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPointLocalMap_algebraMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPointLocalMap_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCoordinatePower_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootOriginPoint' depends on axioms: [propext, Classical.choice, Quot.sound]
